,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,wine_style
1862,7.2,0.29,0.4,13.6,0.045,66.0,231.0,0.9977,3.08,0.59,9.6, 6 ,MEDIUM
1863,6.2,0.24,0.35,,0.038,22.0,167.0,0.9912,nan,0.48,10.6,6,MEDIUM
1864,6.9,0.29,0.4,19.45,0.043,36.0,156.0,0.9996,nan,0.47,8.9,5,light
1865,6.9,0.32,0.26,8.3,0.053,32.0,180.0,0.9965,3.25,0.51,9.2,6,light
1866,5.3,0.58,0.07,6.9,0.043,34.0,149.0,0.9944,3.34,0.57,9.7,5,medium
1867,5.3,0.585,0.07,7.1,0.044,34.0,145.0,0.9945,3.34,0.57,9.7,6,medium
1868,5.4,0.59,0.07,7.0,0.045,36.0,147.0,0.9944,nan,0.57,9.7,6,medium
1869,6.9,0.32,0.26,8.3,0.053,32.0,180.0,0.9965,3.25,0.51,9.2,6,light
1870,5.2,0.6,0.07,7.0,0.044,33.0,147.0,0.9944,3.33,0.58,9.7,5, medium 
1871,5.8,0.25,0.26,13.1,0.051,44.0,148.0,0.9972,3.29,0.38,9.3, 5 ,light
1872,6.6,0.58,0.3,5.1,0.057,30.0,123.0,0.9949,3.24,0.38,9.0,5,light
1873,7.0,0.29,0.54,,,59.0,234.0,0.9966, 3.05 ,0.61,9.5,5,light
1874,6.6,0.19,0.41,8.9,0.046,51.0,169.0,0.9954,3.14,0.57,9.8,6,medium
1875,6.7,0.2,0.41,9.1,0.044,50.0,166.0,0.9954, 3.14 ,0.58,9.8,6, medium 
1876,7.7,0.26,0.4,1.1,0.042,9.0,60.0,0.9915,2.89,0.5,10.6,5,medium
1877,6.8,0.32,0.34,1.2,0.044,14.0,67.0,0.9919, 3.05 ,0.47,10.6,4,medium
1878,7.0,,0.49,4.7,0.036,17.0,105.0,0.9916,3.26,0.68,12.4,7,strong
1879,7.0,,0.36,2.8,0.034,22.0,112.0,0.99,3.19,0.38,12.6,8,strong
1880,6.1,0.31,0.58,5.0,0.039,36.0,114.0,0.9909,3.3,0.6,12.3,8,STRONG
1881,6.8,0.44,0.37,5.1,0.047,46.0,201.0,0.9938,3.08,0.65,10.5,4,medium
1882,6.7,0.34,0.3,15.6,0.054,51.0,196.0,0.9982,3.19,0.49,9.3,5, light 
1883,7.1,0.35,0.24,15.4,0.055,46.0,198.0,0.9988,3.12,0.49,8.8,5,light
1884,7.3,0.32,0.25,7.2,0.056,47.0,900.0,0.9961, 3.08 ,1.88,22.0,5,STRONG
1885,6.5,0.28,0.33,15.7,0.053,51.0,190.0,0.9978, 3.22 ,0.51,9.7,6, medium 
1886,7.2,0.23,0.39,14.2,,49.0,192.0,0.9979,2.98,0.48,9.0, 7 ,light
1887,7.2,0.23,0.39,14.2,0.058,49.0,192.0,0.9979,2.98,0.48,9.0,7,light
1888,7.2,0.23,0.39,14.2,0.058,49.0,192.0,997.9,2.98,0.48,9.0,7, LIGHT 
1889,7.2,0.23,0.39,14.2,0.058,49.0,192.0,0.9979,2.98,0.48,9.0,7,LIGHT
1890,5.9,0.15,0.31,5.8,0.041,53.0,155.0,0.9945,3.52,0.46,10.5,6,medium
1891,7.4,0.28,0.42,19.8,0.066,53.0,195.0,1.0,2.96,0.44,9.1,5,light
1892,6.2,0.28,0.22,7.3,0.041,26.0,157.0,0.9957,3.44,0.64,9.8,7,medium
1893,,0.59,0.38,1.6,0.066,34.0,182.0,0.9968,3.23,0.38,8.5,3,light
1894,6.3,0.33,0.27,1.2,0.046,34.0,175.0,0.9934,3.37,0.54,9.4,6,LIGHT
1895,8.3,0.39,0.7,10.6,0.045,33.0,169.0,0.9976,3.09,0.57,9.4,5,LIGHT
1896,7.2,0.19,0.46,3.8,0.041,82.0,187.0,0.9932,3.19,0.6,11.2,7,medium
1897,7.5,0.17,0.44,nan,0.046,65.0,146.0,0.997,3.17,0.45,10.0,6,medium
1898,,0.17,0.5,2.1,0.043,27.0,122.0,0.9923,3.15,0.45,10.3,6,medium
1899,,0.41,0.0,1.6,0.063,36.0,435.0,0.9914,3.27,2.68,27.0,6,STRONG
1900,8.3,0.2,0.35,0.9,0.05,12.0,74.0,0.992,3.13,0.38,10.5,6,medium
1901,,0.41,0.0,1.6,0.063,36.0,87.0,0.9914,3.27,0.67,10.8,6,MEDIUM
1902,6.0,0.29,0.21,,,42.0,168.0,?,3.32,0.43,11.1,6,MEDIUM
1903,7.3,0.41,0.24,6.8,0.057,41.0,163.0,0.9949,3.2,0.41,9.9,6,MEDIUM
1904,7.3,0.41,0.24,6.8,,41.0,163.0,0.9949,3.2,0.41,9.9,6,medium
1905,7.2,0.43,0.24,,0.058,40.0,163.0,0.995,nan,0.41,9.9,5, medium 
1906,7.3,0.4,0.24,6.7,0.058,41.0,166.0,0.995,3.2,0.41,9.9,6, medium 
1907,,0.33,0.27,4.9,0.036,30.0,134.0,0.9927,3.2,0.42,10.4,7,medium
1908,6.2,0.31,0.26,4.8,0.037,36.0,148.0,992.8000000000001,nan,0.41,10.4,6,medium
1909,6.1,0.36,0.27,2.1,0.035,16.0,100.0,0.9917, 3.4 ,0.71,11.5,7,medium
1910,,,0.14,8.3,0.032,35.0,164.0,0.9918,3.53,0.51,12.5,8, strong 
1911,7.8,0.25,0.41,3.7,0.042,37.0,149.0,0.9954,3.36,0.45,10.0,6,medium
1912,5.7,0.36,0.21,6.7,0.038,51.0,166.0,0.9941,3.29,0.63,10.0,6,medium
1913,5.8,0.34,0.21,6.6,0.04,50.0,167.0,0.9941, nan ,0.62,10.0,5,medium
1914,6.8,0.28,0.6,1.1,0.132,42.0,127.0,0.9934,nan,0.44,9.1,6,LIGHT
1915,6.8,0.25,0.34,4.7,0.031,34.0,134.0,0.9927, 3.21 ,0.38,10.6,6,medium
1916,6.6,0.24,0.35,7.7,0.031,36.0,135.0,0.9938, 3.19 ,0.37,10.5,5,medium
1917,5.9,0.3,0.47,7.85,0.03,19.0,133.0,0.9933,3.52,0.43,11.5,7, medium 
1918,6.1,0.125,0.25,3.3,0.04,10.0,69.0,?,3.54,0.59,10.1,6,medium
1919,6.0,0.1,0.24,1.1,0.041,15.0,65.0,0.9927,3.61,0.61,10.3,7,
1920,6.6,0.24,0.35,7.7,,36.0,135.0,0.9938,3.19,0.37,10.5,5, MEDIUM 
1921,6.8,0.25,0.34,4.7,0.031,34.0,134.0,992.7,3.21,0.38,10.6, 6 ,medium
1922,6.8,0.28,0.44,9.3,0.031,35.0,137.0,0.9946,3.16,0.36,10.4,6,medium
1923,8.3,0.41,0.51,2.0,0.046,11.0,207.0,0.993,3.02,0.55,11.4,5,MEDIUM
1924,7.5,0.27,0.31,5.8,0.057,131.0,313.0,0.9946, 3.18 ,0.59,10.5,5,medium
1925,,0.26,0.41,15.15,0.04,38.0,216.0,0.9976,2.96,0.6,10.0,6,medium
1926,6.4,0.34,0.23,6.3,0.039,37.0,143.0,0.9944,3.19,0.65,10.0,6,medium
1927,6.5,0.28,0.35,15.4,0.042,55.0,195.0,0.9978,3.23,0.5,9.6,6,medium
1928,,0.21,0.41,,0.036,33.0,85.0,?,3.17,0.51,10.4,5,medium
1929,6.4,,0.35,4.8,0.03,34.0,101.0,0.9912, 3.36 ,0.6,12.5,8,strong
1930,6.8,0.24,0.34,4.6,0.032,37.0,135.0,0.9927,3.2,0.39,10.6,5,MEDIUM
1931,6.3,0.23,0.3,1.8,0.033,16.0,91.0,0.9906,3.28,0.4,11.8,6, strong 
1932,6.5,0.28,0.34,9.9,0.038,30.0,133.0,0.9954,3.11,0.44,9.8,5,medium
1933,5.6,0.26,0.26,nan,0.031,12.0,80.0,0.9923,3.25,0.38,10.8,5,medium
1934,6.3,0.23,0.3,nan,0.033,16.0,91.0,0.9906,3.28,0.4,11.8,6,STRONG
1935,6.3,0.23,0.33,1.5,0.036,15.0,105.0,0.991,3.32,0.42,11.2,6,medium
1936,5.8,0.27,0.27,12.3,0.045,55.0,170.0,0.9972, 3.28 ,0.42,9.3,6,
1937,5.9,0.26,0.4,1.3,0.047,12.0,139.0,0.9945,3.45,0.53,10.4,5,medium
1938,6.6,0.18,0.35,1.5,0.049,49.0,141.0,0.9934,3.43,0.85,10.2,7,medium
1939,,0.2,0.43,7.8,0.045,27.0,153.0,0.9964,3.19,0.55,9.0,7,
1940,8.0,0.24,0.36,1.5,0.047,17.0,129.0,0.9948,3.2,0.54,10.0, 6 ,medium
1941,6.4,0.26,0.42,9.7,,30.0,140.0,0.9962, 3.18 ,0.47,9.1,6,light
1942,5.4,0.31,0.47,3.0,0.053,46.0,144.0,0.9931,3.29,0.76,10.0,5,medium
1943,5.4,0.29,0.47,3.0,,47.0,145.0,0.993,3.29,0.75,10.0,6,
1944,7.1,0.145,0.33,4.6,0.05,33.0,131.0,994.1999999999999,3.28,0.4,9.6,6,medium
1945,5.6,0.34,0.1,1.3,0.031,20.0,68.0,0.9906,3.36,0.51,11.2,7, medium 
1946,6.7,0.19,0.41,15.6,0.056,75.0,155.0,0.9995, 3.2 ,0.44,8.8,6,light
1947,7.8,0.18,0.46,13.6,0.052,38.0,118.0,0.998, 3.15 ,0.5,10.0,6,medium
1948,,0.17,0.45,nan,0.054,56.0,137.0,0.997,3.15,0.47,10.0, 5 ,medium
1949,6.3,0.12,0.36,2.1,0.044,47.0,146.0,0.9914,nan,0.74,11.4,7,medium
1950,7.3,0.33,0.4,6.85,0.038,32.0,138.0,0.992,3.03,0.3,11.9,7,STRONG
1951,,0.335,0.3,2.5,0.071,27.0,128.0,0.9924,nan,0.51,9.6,6,medium
1952,7.3,0.33,0.4,6.85,,32.0,138.0,992.0,3.03,0.3,11.9,7,STRONG
1953,5.8,0.4,0.42,4.4,0.047,38.5,245.0,0.9937, 3.25 ,0.57,9.6,6,MEDIUM
1954,7.3,0.22,0.37,14.3,0.063,48.0,191.0,0.9978, 2.89 ,0.38,9.0,6,light
1955,7.3,0.22,0.37,14.3,0.063,48.0,955.0,0.9978,2.89,1.52,22.5,6,strong
1956,6.1,0.36,0.33,1.1,0.05,24.0,169.0,0.9927,3.15,0.78,9.5,6,LIGHT
1957,,0.2,0.39,1.4,0.05,19.0,152.0,0.994,3.0,0.42,10.4,6,
1958,6.9,0.24,0.34,nan,0.04,43.0,161.0,0.9935,3.2,0.59,10.6,6,MEDIUM
1959,6.4,0.24,0.32,,0.047,54.0,162.0,0.9968,3.28,0.5,10.2,6,MEDIUM
1960,7.1,0.365,0.14,1.2,0.055,24.0,84.0,0.9941,3.15,0.43,8.9,5,light
1961,6.8,0.15,0.3,5.3,0.05,40.0,127.0,0.9942, 3.4 ,0.39,9.7,6,
1962,7.3,0.22,0.37,14.3,0.063,48.0,191.0,0.9978,2.89,0.38,9.0,6,light
1963,6.8,0.16,0.4,2.3,0.037,18.0,102.0,0.9923,3.49,0.42,11.4,7,medium
1964,6.0,0.26,0.32,3.5,0.028,29.0,113.0,0.9912,3.4,0.71,12.3, 7 ,strong
1965,,0.18,0.27,1.5,0.089,40.0,143.0,0.9923,3.49,0.62,10.8,6,medium
1966,6.9,0.33,0.21,1.0,0.053,39.0,148.0,0.9927,3.12,0.45,9.4,6,LIGHT
1967,7.7,0.29,0.48,2.3,0.049,36.0,178.0,0.9931,3.17,0.64,10.6,6,medium
1968,7.1,0.39,0.35,12.5,,26.0,72.0,0.9941,3.17,0.29,11.6,5,STRONG
1969,6.9,0.33,0.21,1.0,0.053,39.0,148.0,0.9927,nan,0.45,9.4, 6 ,LIGHT
1970,7.7,0.29,0.48,2.3,0.049,36.0,178.0,0.9931,3.17,0.64,10.6,6,medium
1971,6.6,0.905,0.19,0.8,0.048,17.0,204.0,0.9934,3.34,0.56,10.0,5,medium
1972,7.2,0.27,0.27,2.4,0.048,30.0,149.0,0.9936,3.1,0.51,9.2,6,light
1973,5.1,,0.22,1.6,0.027,18.0,89.0,0.9893,3.51,0.38,12.5,7,
1974,5.1,,0.22,1.6,0.027,18.0,89.0,0.9893,3.51,0.38,12.5, 7 ,STRONG
1975,6.4,0.31,0.28,1.5,0.037,12.0,119.0,991.9,3.32,0.51,10.4,7,medium
1976,7.3,0.2,0.44,nan,0.045,21.0,98.0,0.9924,3.15,0.46,10.0,7, medium 
1977,5.7,0.32,0.5,2.6,0.049,17.0,155.0,0.9927,3.22,0.64,10.0,6,medium
1978,6.4,0.31,0.28,1.5,0.037,12.0,119.0,0.9919,3.32,0.51,10.4,7, medium 
1979,7.3,0.2,0.44,1.4,0.045,21.0,98.0,0.9924,3.15,0.46,10.0, 7 ,medium
1980,7.2,0.28,0.26,12.5,0.046,48.0,179.0,0.9975,3.1,0.52,9.0,6,light
1981,7.5,0.35,0.28,9.6,0.051,26.0,157.0,0.9969,3.12,0.53,9.2,6,light
1982,7.2,0.27,0.27,2.4,0.048,30.0,149.0,993.6,3.1,0.51,9.2,6,light
1983,6.0,0.36,0.39,nan,0.027,20.0,125.0,0.991,3.38,0.39,11.3,7,medium
1984,5.1,,0.22,1.6,0.027,18.0,445.0,0.9893,3.51,1.52,31.25, 7 ,strong
1985,5.0,0.17,0.56,1.5,0.026,24.0,115.0,0.9906,3.48,0.39,10.8,7,MEDIUM
1986,6.3,0.39,0.35,5.9,,82.5,260.0,0.9941,3.12,0.66,10.1,5,MEDIUM
1987,6.7,0.21,0.32,5.4,0.047,29.0,140.0,?,3.39,0.46,9.7,6,medium
1988,7.0,0.3,0.38,14.9,0.032,60.0,181.0,?,3.18,0.61,9.3,7,light
1989,7.0,0.3,0.38,14.9,0.032,60.0,181.0,0.9983, 3.18 ,0.61,9.3,7,light
1990,6.5,0.36,0.32,nan,0.031,13.0,66.0,0.9916, 3.1 ,0.46,10.6,5, MEDIUM 
1991,6.1,0.55,0.15,9.8,0.031,19.0,125.0,0.9957, 3.36 ,0.47,10.2,6,medium
1992,7.3,0.24,0.43,2.0,0.021,20.0,69.0,0.99,3.08,0.56,12.2,6,strong
1993,,0.37,0.51,,0.044,62.0,163.0,0.9976,3.19,0.44,8.8,5,LIGHT
1994,6.8,0.27,0.12,1.3,0.04,87.0,168.0,0.992,3.18,0.41,10.0,5,medium
1995,8.2,0.28,0.42,1.8,0.031,30.0,93.0,0.9917,3.09,0.39,11.4,5,medium
1996,6.3,0.2,0.4,1.5,0.037,35.0,107.0,0.9917,3.46,0.5,11.4,6,medium
1997,5.9,0.26,0.27,18.2,0.048,52.0,168.0,0.9993,3.35,0.44,9.4,5,LIGHT
1998,6.4,0.19,0.42,2.9,0.032,32.0,83.0,0.9908, 3.3 ,0.41,11.7,6,strong
1999,6.3,0.2,0.4,1.5,0.037,35.0,107.0,0.9917,3.46,0.5,11.4,6,medium
2000,6.8,0.37,0.51,11.8,0.044,62.0,163.0,0.9976, 3.19 ,0.44,8.8,5,light
2001,6.1,0.35,0.07,1.4,0.069,22.0,108.0,0.9934,3.23,0.52,9.2,5,light
2002,7.1,0.27,0.31,nan,0.046,55.0,252.0,1.0,3.07,0.56,8.7,5,LIGHT
2003,6.8,,0.31,nan,0.035,33.0,170.0,0.9918,3.24,0.66,12.6,6,strong
2004,6.8,0.27,0.12,1.3,0.04,87.0,168.0,0.992,3.18,0.41,10.0,5,medium
2005,5.8,,0.34,4.0,0.031,40.0,99.0,0.9896,3.39,0.39,12.8,7,strong
2006,6.9,0.49,0.24,1.2,0.049,13.0,125.0,?,3.17,0.51,9.4,5,light
2007,6.3,0.14,0.39,1.2,0.044,26.0,116.0,0.992,3.26,0.53,10.3,6,MEDIUM
2008,8.2,0.28,0.42,1.8,0.031,30.0,93.0,0.9917,3.09,0.39,11.4,5,MEDIUM
2009,7.2,0.25,0.39,,0.038,42.0,155.0,0.9999,2.97,0.47,9.0,6,light
2010,,0.28,0.36,12.7,0.04,38.0,140.0,0.998,3.3,0.79,9.6,6,medium
2011,7.2,0.19,0.39,1.2,0.036,32.0,85.0,0.9918,3.16,0.5,10.5,5,medium
2012,7.2,0.19,0.39,1.2,0.036,32.0,85.0,0.9918,3.16,0.5,10.5,5,medium
2013,7.2,0.25,0.39,18.95,0.038,42.0,155.0,0.9999,2.97,0.47,9.0,6,light
2014,7.3,0.28,0.36,12.7,0.04,38.0,140.0,0.998,3.3,0.79,9.6,6,medium
2015,7.4,0.21,0.27,1.2,0.041,27.0,99.0,0.9927, 3.19 ,0.33,9.8,6,MEDIUM
2016,6.8,0.26,0.22,7.7,0.047,57.0,210.0,0.9959,3.1,0.47,9.0,5,light
2017,,0.21,0.27,1.2,0.041,27.0,99.0,0.9927,3.19,0.33,9.8,6,MEDIUM
2018,7.4,0.31,0.28,1.6,0.05,33.0,137.0,0.9929,3.31,0.56,10.5,6, medium 
2019,7.0,,0.31,2.7,0.03,41.0,136.0,0.9898, 3.16 ,0.37,12.7,7,STRONG
2020,7.0,0.21,0.28,8.7,0.045,37.0,222.0,0.9954,3.25,0.54,10.4,6,medium
2021,7.0,0.21,0.28,8.6,0.045,37.0,221.0,0.9954,3.25,0.54,10.4,6,medium
2022,,0.21,0.28,8.6,0.045,37.0,221.0,0.9954,3.25,0.54,10.4,6,medium
2023,6.9,0.23,0.38,8.3,0.047,47.0,162.0,0.9954,3.34,0.52,10.5,7,medium
2024,7.0,0.21,0.28,8.7,,37.0,222.0,0.9954,3.25,0.54,10.4,6,MEDIUM
2025,7.0,0.21,0.28,8.6,0.045,37.0,221.0,0.9954, 3.25 ,0.54,10.4,6,medium
2026,6.8,0.29,0.5,13.3,0.053,48.0,194.0,0.9974,3.09,0.45,9.4,5,light
2027,7.8,0.21,0.27,1.2,0.051,20.0,89.0,0.9936,3.06,0.46,9.1,5,LIGHT
2028,7.1,0.31,0.47,13.6,0.056,54.0,197.0,0.9978,3.1,0.49,9.3,5,light
2029,6.8,0.29,0.5,13.3,0.053,48.0,194.0,0.9974,3.09,0.45,9.4, 5 ,light
2030,,0.34,0.1,1.1,0.048,19.0,84.0,0.9927,3.21,0.38,9.8,5,medium
2031,7.4,0.155,0.34,2.3,0.045,73.5,214.0,0.9934, 3.18 ,0.61,9.9,7,medium
2032,7.2,0.55,0.09,,0.108,16.0,151.0,0.9938, 3.07 ,0.57,9.2,4,light
2033,7.0,0.23,0.36,7.1,0.028,31.0,104.0,0.9922,3.35,0.47,12.1,8,STRONG
2034,6.9,0.2,0.37,nan,0.027,24.0,97.0,0.992,3.38,0.49,12.2,7,STRONG
2035,6.1,0.28,0.32,2.5,0.042,23.0,218.5,0.9935,3.27,0.6,9.8,5, medium 
2036,6.6,,0.32,1.4,0.035,49.0,186.0,0.9906, 3.35 ,0.64,12.4,8, strong 
2037,,0.155,0.34,2.3,0.045,73.5,214.0,0.9934,3.18,0.61,9.9,7, MEDIUM 
2038,6.2,0.35,0.04,1.2,0.06,23.0,108.0,0.9934,3.26,0.54,9.2, 5 ,light
2039,6.7,0.22,0.37,1.6,0.028,24.0,102.0,0.9913,3.29,0.59,11.6,7,
2040,6.1,0.38,0.2,6.6,0.033,25.0,137.0,0.9938, 3.3 ,0.69,10.4,6,medium
2041,6.0,,0.28,2.2,,54.0,126.0,0.9898,3.43,0.65,12.9,8,strong
2042,6.6,0.52,0.44,12.2,0.048,54.0,245.0,0.9975,3.26,0.54,9.3,6,light
2043,6.9,0.24,0.36,20.8,,40.0,139.0,0.9975, 3.2 ,0.33,11.0,6, medium 
2044,7.1,0.32,0.32,nan,0.038,16.0,66.0,993.7,3.24,0.4,11.5,3,medium
2045,,,0.27,2.6,0.054,30.0,156.0,0.9914,3.53,0.42,12.4,5, strong 
2046,6.5,0.41,0.24,14.0,0.048,24.0,113.0,0.9982,3.44,0.53,9.8,6,MEDIUM
2047,6.5,0.41,0.24,14.0,0.048,24.0,113.0,0.9982,nan,0.53,9.8,6,MEDIUM
2048,6.4,0.28,0.29,1.6,0.052,34.0,127.0,0.9929,nan,0.56,10.5,7,medium
2049,7.2,0.6,0.2,9.9,0.07,21.0,174.0,0.9971,3.03,0.54,9.1,5,light
2050,6.1,0.2,0.25,1.2,0.038,34.0,128.0,0.9921,3.24,0.44,10.1,5,medium
2051,,0.46,0.14,2.7,0.042,27.0,160.0,0.9931,nan,0.51,10.6,7,MEDIUM
2052,6.0,0.27,0.27,1.6,0.046,32.0,113.0,0.9924,3.41,0.51,10.5,7,medium
2053,6.4,0.28,0.29,1.6,0.052,34.0,127.0,0.9929,3.48,0.56,10.5,7,medium
2054,6.4,0.41,0.24,14.0,0.048,24.0,113.0,0.9982,nan,0.53,9.8,6,medium
2055,6.3,,0.31,1.5,0.022,11.0,82.0,0.9892,3.3,0.4,12.9,7,strong
2056,7.1,0.21,0.27,8.6,0.056,26.0,111.0,0.9956,2.95,0.52,9.5,5,LIGHT
2057,6.0,0.37,0.32,1.0,0.053,31.0,1092.5,0.9924,3.29,2.88,24.5,6,strong
2058,6.1,0.43,0.35,,0.059,83.0,249.0,0.9971,3.37,0.5,8.5, 5 ,LIGHT
2059,,0.21,0.27,8.6,0.056,26.0,111.0,0.9956,2.95,0.52,9.5,5, light 
2060,7.0,0.25,0.29,15.2,0.047,40.0,171.0,0.9982, 3.22 ,0.45,9.3,5,light
2061,5.9,0.25,0.19,12.4,0.047,50.0,162.0,0.9973,3.35,0.38,9.5,5,light
2062,6.8,0.32,0.21,2.2,0.044,15.0,68.0,0.9932,3.17,0.39,9.4,6,LIGHT
2063,7.2,0.39,0.62,11.0,0.047,66.0,178.0,?,3.16,0.5,8.7, 5 ,light
2064,6.3,0.21,0.58,10.0,0.081,34.0,126.0,996.1999999999999,2.95,0.46,8.9, 5 ,light
2065,7.0,0.14,0.32,9.0,0.039,54.0,141.0,0.9956, 3.22 ,0.43,9.4,6,light
2066,6.8,0.32,0.21,2.2,0.044,15.0,68.0,0.9932,3.17,0.39,9.4,6, LIGHT 
2067,7.2,0.39,0.62,11.0,0.047,66.0,178.0,0.9976,3.16,0.5,8.7,5,light
2068,7.2,0.29,0.53,18.15,0.047,59.0,182.0,0.9992, 3.09 ,0.52,9.6,5,MEDIUM
2069,8.6,0.37,0.7,12.15,0.039,21.0,158.0,0.9983,3.0,0.73,9.3,6,light
2070,6.5,0.38,0.34,3.4,0.036,34.0,200.0,0.9937,3.14,0.76,10.0,5,MEDIUM
2071,6.6,,0.29,2.0,0.023,19.0,86.0,0.99,3.25,0.45,12.5,6,strong
2072,7.0,0.17,0.31,4.8,0.034,34.0,132.0,994.4,3.36,0.48,9.6,7,medium
2073,5.5,0.16,0.22,4.5,0.03,30.0,102.0,0.9938,3.24,0.36,9.4,6,light
2074,7.0,0.24,0.51,11.0,,55.0,227.0,0.9965,3.03,0.61,9.5,5,light
2075,7.4,,0.36,1.1,0.028,42.0,105.0,0.9893,2.99,0.39,12.4,7,
2076,7.0,0.22,0.28,1.5,,29.0,115.0,0.9927, 3.11 ,0.55,10.5,6,MEDIUM
2077,7.1,0.55,0.13,1.7,0.073,21.0,165.0,0.994,2.97,0.58,9.2,6, LIGHT 
2078,6.3,0.22,0.33,1.7,0.041,67.0,164.0,0.9928,3.32,0.56,10.4,6,medium
2079,,0.47,0.34,nan,0.043,31.0,172.0,0.9964,3.22,0.6,9.2, 5 ,light
2080,5.9,0.36,0.41,1.3,0.047,45.0,104.0,0.9917, 3.33 ,0.51,10.6,6,medium
2081,5.8,0.25,0.24,13.3,0.044,41.0,137.0,0.9972,3.34,0.42,9.5,5,light
2082,6.7,0.47,0.34,8.9,0.043,31.0,172.0,0.9964,3.22,0.6,9.2,5,light
2083,6.2,0.37,0.3,6.6,0.346,79.0,200.0,?,3.29,0.58,9.6,5,medium
2084,6.2,0.18,0.38,1.5,0.028,36.0,117.0,0.993,3.47,0.54,9.7,6,medium
2085,6.0,0.16,0.37,1.5,0.025,43.0,117.0,0.9928,3.46,0.51,9.7,6,medium
2086,6.6,0.34,0.28,nan,0.035,32.0,90.0,0.9916,3.1,0.42,10.7,6,medium
2087,7.4,0.29,0.29,1.6,0.045,53.0,180.0,0.9936,3.34,0.68,10.5,6,medium
2088,7.4,0.26,0.31,7.6,0.047,52.0,177.0,0.9962,3.13,0.45,8.9, 6 ,light
2089,7.0,0.28,0.36,1.0,0.035,8.0,70.0,0.9899, 3.09 ,0.46,12.1,6,strong
2090,7.1,,0.39,1.6,0.032,12.0,65.0,0.9898, 3.25 ,0.4,12.7,7,strong
2091,7.8,0.19,0.26,8.9,0.039,42.0,182.0,0.996,3.18,0.46,9.9,6,medium
2092,6.3,0.19,0.28,1.8,0.022,28.0,158.0,0.9907,3.2,0.64,11.4,6,medium
2093,6.8,0.2,0.38,4.7,0.04,27.0,103.0,?,3.37,0.58,10.7,6,medium
2094,5.7,,0.13,nan,0.025,28.0,173.0,0.9913,3.33,0.48,12.5, 6 ,strong
2095,7.2,0.4,0.62,10.8,0.041,70.0,189.0,0.9976,3.08,0.49,8.6,4,light
2096,,,0.32,1.6,0.026,43.0,147.0,0.9904,nan,0.54,12.5,6,strong
2097,5.7,0.335,0.34,nan,0.04,13.0,174.0,0.992, 3.27 ,0.66,10.0, 5 ,medium
2098,7.2,0.4,0.62,10.8,0.041,70.0,189.0,0.9976, 3.08 ,0.49,8.6, 4 ,light
2099,7.2,0.28,0.54,16.7,0.045,54.0,200.0,0.999,3.08,0.49,9.5,6,light
2100,6.8,0.19,0.58,14.2,0.038,51.0,164.0,0.9975,3.12,0.48,9.6,6,medium
2101,6.4,0.3,0.3,2.25,0.038,8.0,210.0,993.7,nan,0.62,9.9,6,MEDIUM
2102,6.5,0.3,0.29,2.25,0.037,8.0,210.0,0.9937,3.19,0.62,9.9,5,medium
2103,7.8,0.18,0.31,12.2,0.053,46.0,140.0,0.998,3.06,0.53,8.9,6,light
2104,7.8,0.18,0.31,nan,0.053,46.0,140.0,0.998,3.06,0.53,8.9, 6 ,
2105,7.3,0.51,0.26,,0.09,7.0,135.0,0.9944, 3.01 ,0.52,8.8,5,light
2106,6.0,0.24,0.27,1.9,0.048,40.0,170.0,0.9938, 3.64 ,0.54,10.0,7,medium
2107,5.9,0.62,0.28,3.5,0.039,55.0,152.0,0.9907,3.44,0.44,12.0,6,strong
2108,6.0,0.24,0.27,1.9,0.048,40.0,170.0,0.9938,3.64,0.54,10.0,7, medium 
2109,6.7,0.27,0.12,1.3,,62.0,138.0,?,3.21,0.42,10.0,6,
2110,7.8,0.34,0.35,1.8,0.042,8.0,167.0,0.9908,3.11,0.41,12.1,6,strong
2111,7.3,0.26,0.36,5.2,0.04,31.0,141.0,0.9931,3.16,0.59,11.0,6,medium
2112,7.4,0.36,0.33,1.4,0.025,27.0,55.0,0.9915,3.21,0.33,11.2,6,medium
2113,7.8,0.28,0.32,9.0,0.036,34.0,115.0,0.9952,3.17,0.39,10.3,7,medium
2114,,0.31,0.26,2.2,0.051,28.0,167.0,992.6,3.37,0.47,10.4,6,medium
2115,6.8,0.18,0.37,1.6,0.055,47.0,154.0,0.9934,3.08,0.45,9.1, 5 ,light
2116,7.4,0.15,0.42,nan,0.045,49.0,154.0,0.992, 3.0 ,0.6,10.4, 6 ,medium
2117,,0.13,0.28,1.9,0.05,20.0,78.0,0.9918,3.43,0.64,10.8,6,
2118,7.2,0.34,0.34,12.6,0.048,7.0,41.0,0.9942,3.19,0.4,11.7,5,strong
2119,7.9,0.19,0.26,,0.039,8.0,143.0,0.9942,nan,0.74,9.8,5,medium
2120,7.9,0.19,0.26,2.1,,8.0,143.0,0.9942,3.05,0.74,9.8,5,MEDIUM
2121,,0.25,0.4,1.3,0.038,22.0,101.0,0.9901,3.03,0.39,11.4, 6 ,medium
2122,5.8,0.36,0.32,1.7,,22.0,96.0,989.8000000000001,3.03,0.38,11.2,6, medium 
2123,5.6,0.35,0.37,1.0,0.038,6.0,360.0,990.1999999999999,3.37,1.36,28.5,5,strong
