Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12,Attribute13,Attribute14,Attribute15,Attribute16,Attribute17,Attribute18,Attribute19,Attribute20,Attribute21,Attribute22
A12,18.0,A30,A42,3244.0, A61 ,a73,1.0,a92,A101,4.0,A123,33.0,A141,A152,2.0,A173,1.0,A192,A201,18.0,
A14,24.0,A32,A49,4591.0, A64 ,A73,2.0,A93,a101,3.0,A122,54.0,a143,A152,3.0,a174,1.0,A192,A201,24.0,
A12,48.0,a30,A49,3844.0, A62 ,A74,4.0,A93,,4.0,A124,34.0,A143,A153,1.0,,2.0,a191,A201,48.0,
A12,27.0,A32,A49,3915.0, A61 ,A73,4.0,A93,A101,,A123,36.0,A143,A152,1.0,A173,2.0,A192,A201,27.0,
A14,6.0,A32,a43,2108.0, A61 ,A74,2.0,A94,A101,2.0,a121,29.0,A143,A151,1.0,A173,1.0,a191,A201,6.0,
A12,,A32,A43,3031.0, A62 ,A73,4.0,A93,A103,4.0,A122,21.0,A143,A151,1.0,A173,1.0,A191,A201,,
a12,9.0,A34,A46,1501.0, A61 ,a75,2.0,A92,A101,3.0,A123,34.0,a143,A152,2.0,A174,1.0,A192,A201,9.0, 
A14,6.0,A34,a43,, A61 ,A73,1.0,A92,a101,1.0,A123,28.0,A143,A152,2.0,A173,1.0,A192,A201,6.0,
A12,12.0,A32,A42,951.0, a62 ,A72,4.0,A92,a101,4.0,A123,27.0,A141,a151,4.0,A173,1.0,A191,A201,12.0, 
A12,24.0,A32,A41,2760.0, A65 ,A75,4.0,A93,A101,4.0,A124,36.0,A141,A153,1.0,A173,1.0,A192,A201,24.0,
a12,18.0,a33,A42,4297.0, A61 ,A75,4.0,A91,A101,3.0,A124,40.0,A143,A152,1.0,A174,1.0,A192,A201,18.0,
A14,9.0,A34,A46,936.0, A63 ,A75,4.0,A93,A101,2.0,A123,52.0,,A152,2.0,A173,1.0,A192,,9.0,
A11,,A32,A40,1168.0, a61 ,A73,4.0,A94,a101,3.0,A121,27.0,A143,A152,1.0,A172,1.0,A191,A201,,
A14,,A33,A49,5117.0, A61 ,a74,3.0,A93,A101,4.0,A123,26.0,A143,A152,2.0,A173,1.0,A191,A201,,
A11,12.0,,A48,902.0, A61 ,A74,4.0,A94,A101,4.0,A122,21.0,A143,A151,1.0,a173,1.0,A191,,12.0,
A14,12.0,A34,A40,1495.0, a61 ,a75,4.0,A93,a101,1.0,a121,38.0,A143,A152,2.0,A172,2.0,,A201,12.0,99
,30.0,A34,a41,10623.0, A61 ,A75,3.0,A93,a101,4.0,a124,,A143,A153,3.0,A174,2.0,A192,A201,30.0,
A14,12.0,A34,A42,1935.0, A61 ,A75,4.0,A93,A101,4.0,A121,43.0,A143,A152,3.0,A173,1.0,A192,A201,12.0,
A12,12.0,A34,A44,1424.0, A61 ,A74,4.0,A93,A101,3.0,A122,26.0,A143,A152,1.0,A173,1.0,A191,A201,12.0,
,24.0,A32,A49,6568.0, A61 ,A73,2.0,A94,A101,,,21.0,A142,a152,1.0,A172,1.0,A191,A201,24.0,
a14,12.0,A32,A41,1413.0, A64 ,a74,3.0,A93,A101,2.0,A122,55.0,a143,,1.0,A173,1.0,A191,A202,12.0,
A14,9.0,a34,A43,3074.0, a65 ,A73,1.0,A93,a101,2.0,a121,33.0,A143,A152,2.0,A173,2.0,A191,,9.0, 
A14,36.0,A32,a43,3835.0, A65 ,A75,2.0,A92,A101,4.0,A121,45.0,A143,A152,1.0,A172,1.0,A192,A201,36.0,
A11,27.0,,A49,5293.0, A61 ,A71,2.0,,A101,4.0,A122,50.0,A142,A152,2.0,A173,1.0,A192,A201,27.0, 
A13,30.0,A33,A49,1908.0, A61 ,A75,4.0,a93,A101,4.0,,66.0,A143,A152,1.0,a174,1.0,A192,A201,30.0,
A14,36.0,A34,a43,3342.0, A65 ,A75,4.0,a93,,2.0,A123,51.0,,A152,1.0,A173,1.0,A192,A201,36.0,
a12,6.0,A34,a48,932.0, A65 ,A74,1.0,A92,A101,3.0,A122,39.0,A143,A152,2.0,A172,1.0,A191,A201,6.0,
A11,18.0,A30,A49,, A61 ,A74,3.0,A93,A101,1.0,A122,31.0,a141,A152,1.0,a173,1.0,a192,A201,18.0,
A13,36.0,A32,,3913.0, A61 ,A73,2.0,A93,A101,2.0,A121,23.0,A143,A152,1.0,A173,1.0,a192,A201,36.0,
A11,24.0,a32,A42,3021.0, A61 ,a73,2.0,A91,A101,2.0,A121,24.0,a143,A151,1.0,a172,1.0,A191,A201,24.0,
A14,10.0,A32,A40,1364.0, A61 ,A73,2.0,A92,A101,4.0,A123,64.0,A143,A152,1.0,A173,1.0,A192,A201,10.0,
A12,12.0,A32,A43,625.0, A61 ,a72,4.0,a94,A103,1.0,A121,26.0,A141,A152,1.0,A172,,A191,a201,12.0, 
A11,12.0,A32,A46,1200.0, A65 ,A73,4.0,A92,A101,4.0,A122,23.0,A141,A151,1.0,a173,1.0,A192,A201,12.0,
A14,12.0,a32,A43,707.0, A61 ,A73,4.0,A93,A101,2.0,A121,30.0,A141,A152,2.0,A173,1.0,A191,A201,12.0, 
A14,24.0,A33,,2978.0, a65 ,A73,4.0,A93,A101,4.0,A121,32.0,A143,A152,2.0,A173,2.0,A192,A201,24.0,
A14,15.0,,A41,4657.0, a61 ,A73,3.0,A93,A101,,A123,30.0,a143,A152,,,1.0,A192,A201,15.0,
A14,36.0,A30,A45,2613.0, a61 ,A73,4.0,a93,A101,2.0,A123,27.0,A143,A152,,A173,1.0,A191,A201,36.0,
A12,48.0,A32,A43,10961.0, A64 ,A74,1.0,A93,A102,2.0,A124,27.0,A141,a152,2.0,A173,1.0,a192,A201,48.0,
a11,12.0,a32,A42,7865.0, a61 ,A75,4.0,A93,A101,4.0,A124,53.0,A143,,1.0,A174,1.0,A192,a201,12.0,
a14,9.0,a32,A43,1478.0, A61 ,a74,4.0,A93,A101,2.0,A123,22.0,A143,,1.0,A173,1.0,A191,A201,9.0,
A11,24.0,A32,A42,3149.0, A61 ,A72,4.0,A93,A101,1.0,A124,22.0,A141,A153,1.0,A173,1.0,a191,a201,24.0,
A13,36.0,A32,A43,4210.0, a61 ,a73,,A93,a101,2.0,A123,26.0,,A152,1.0,A173,1.0,A191,A201,36.0,
a14,9.0,,A40,2507.0, A63 ,A75,2.0,A93,A101,4.0,a124,51.0,A143,A153,1.0,,1.0,A191,A201,9.0, 
A14,12.0,A32,a43,2141.0, a62 ,A74,,a93,A101,1.0,A124,35.0,A143,A152,1.0,a173,1.0,a191,A201,12.0,
A12,,A32,A43,866.0, a61 ,A73,4.0,A94,A103,2.0,A121,25.0,,a152,1.0,A172,1.0,A191,A201,,
A14,4.0,A34,A43,, A61 ,A74,2.0,A93,A101,1.0,a121,42.0,A143,A152,3.0,A172,2.0,A191,a201,4.0,
A11,24.0,A32,A43,1823.0, nan ,A71,4.0,a93,A101,2.0,A123,30.0,A142,A152,1.0,A174,2.0,A191,A201,24.0, 
A12,6.0,A32,A40,, A65 ,A71,1.0,A93,,2.0,A122,23.0,A143,A152,1.0,A171,1.0,A192,a201,6.0,
,21.0,A32,A49,2767.0, A62 ,A75,4.0,A91,a101,2.0,A123,61.0,A141,A151,2.0,A172,1.0,A191,A201,21.0,
A14,12.0,A34,A43,1291.0, nan ,A73,4.0,a92,A101,2.0,a122,35.0,A143,A152,2.0,a173,1.0,A191,A201,12.0,
A11,30.0,A32,A43,2522.0, A61 ,A75,1.0,A93,A103,3.0,A122,39.0,A143,A152,,A173,2.0,A191,A201,30.0,
A11,24.0,A32,A40,915.0, a65 ,A75,4.0,A92,A101,2.0,A123,29.0,A141,a152,1.0,A173,1.0,A191,A201,24.0,
A14,6.0,,A43,1595.0, A61 ,a74,3.0,A93,A101,2.0,a122,51.0,A143,A152,1.0,A173,2.0,A191,,6.0,
a11,48.0,A30,A41,4605.0, a61 ,A75,3.0,,A101,4.0,A124,24.0,A143,A153,2.0,A173,2.0,,A201,48.0,
A14,12.0,A34,A49,1185.0, A61 ,A73,3.0,A92,a101,2.0,A121,27.0,A143,A152,2.0,A173,1.0,a191,A201,12.0,
,12.0,A31,A48,3447.0, a63 ,a73,4.0,A92,A101,3.0,A121,35.0,A143,a152,1.0,A172,2.0,a191,A201,12.0,
A14,24.0,A32,A49,1258.0, A61 ,A74,,A93,A101,1.0,A121,25.0,A143,A152,1.0,A173,1.0,A192,A201,24.0, 
A14,12.0,a34,A43,717.0, A61 ,unknown,4.0,A93,A101,4.0,a121,,A143,,3.0,A173,,A191,A201,12.0,
a14,,A30,A40,1204.0, a62 ,A73,4.0,a93,A101,1.0,A124,35.0,A141,A151,1.0,A173,1.0,A191,a202,,
a13,24.0,A32,A42,1925.0, A61 ,A73,2.0,a93,A101,2.0,A121,26.0,A143,A152,1.0,A173,1.0,A191,A201,24.0,
A14,18.0,A32,A43,433.0, A61 ,A71,3.0,a92,A102,,A121,22.0,A143,A151,1.0,,1.0,A191,A201,18.0,
A11,6.0,A34,A40,666.0, A64 ,A74,3.0,A92,,4.0,A121,39.0,A143,A152,,a172,1.0,A192,A201,6.0, 
A13,12.0,a32,A42,2251.0, A61 ,A73,1.0,a92,A101,2.0,a123,46.0,A143,A152,1.0,A172,1.0,A191,A201,12.0,
a12,30.0,A32,A40,2150.0, a61 ,a73,4.0,,A103,,a124,24.0,A141,a152,1.0,A173,1.0,A191,A201,30.0,99
A14,24.0,A33,A42,4151.0, A62 ,,2.0,A93,A101,3.0,a122,35.0,A143,A152,2.0,A173,1.0,A191,a201,24.0,
A12,9.0,a32,A42,2030.0, a65 ,A74,2.0,A93,A101,1.0,a123,24.0,A143,A152,1.0,A173,1.0,A192,A201,9.0,
A12,60.0,A33,A43,7418.0, A65 ,A73,1.0,a93,A101,,A121,27.0,A143,A152,1.0,A172,1.0,A191,A201,60.0, 
A14,24.0,A34,A43,2684.0, a61 ,a73,4.0,A93,A101,2.0,,35.0,a143,A152,2.0,A172,,A191,A201,24.0,
A11,12.0,A31,A43,2149.0, a61 ,A73,,A91,A101,1.0,A124,29.0,A143,a153,1.0,A173,1.0,A191,,12.0,
A14,15.0,a32,a41,3812.0, A62 ,A72,1.0,A92,A101,4.0,a123,23.0,,A152,1.0,,1.0,A192,a201,15.0,
A14,11.0,A34,A43,1154.0, A62 ,A71,4.0,a92,A101,4.0,a121,57.0,A143,A152,3.0,A172,1.0,a191,a201,11.0, 
a11,12.0,A32,A42,1657.0, A61 ,A73,2.0,a93,a101,2.0,A121,27.0,A143,A152,1.0,A173,1.0,A191,A201,12.0,
A11,24.0,a32,A43,1603.0, A61 ,a75,4.0,A92,A101,4.0,A123,55.0,A143,A152,1.0,A173,1.0,A191,a201,24.0,
A11,18.0,A34,A40,5302.0, A61 ,A75,2.0,A93,a101,4.0,A124,36.0,A143,A153,3.0,A174,1.0,A192,A201,18.0,
A14,12.0,a34,,2748.0, A61 ,a75,,,A101,4.0,A124,57.0,A141,A153,3.0,A172,1.0,a191,A201,12.0,
A14,,A34,A40,1231.0, A61 ,a75,3.0,A93,A101,4.0,A121,32.0,A143,A152,2.0,A172,2.0,A191,A202,,
A12,15.0,a32,a43,802.0, a61 ,a75,4.0,,,,a123,-5.0,A143,A152,1.0,A173,2.0,A191,A201,15.0,
a14,36.0,A34,A49,6304.0, A65 ,A75,4.0,A93,A101,4.0,A121,,,A152,2.0,a173,1.0,A191,,36.0,
A14,24.0,a32,a43,1533.0, A61 ,A72,4.0,A92,A101,3.0,A123,38.0,a142,A152,1.0,A173,1.0,A192,A201,24.0,
A11,14.0,A32,A40,8978.0, A61 ,A75,1.0,A91,a101,4.0,A122,45.0,a143,a152,1.0,a174,1.0,a192,A202,14.0,
A14,24.0,A32,A43,999.0, a65 ,A75,4.0,a93,A101,2.0,A123,25.0,A143,A152,2.0,A173,1.0,A191,A201,24.0,
A14,18.0,A32,A40,2662.0, A65 ,A74,4.0,A93,A101,3.0,A122,32.0,a143,A152,,a173,1.0,A191,A202,18.0,
a14,12.0,A34,,1402.0, A63 ,A74,3.0,A92,a101,4.0,A123,37.0,a143,a151,1.0,A173,1.0,A192,A201,12.0,
A12,48.0,A31,A40,12169.0, A65 ,A71,4.0,A93,A102,4.0,A124,36.0,A143,A153,1.0,A174,1.0,A192,,48.0,
A12,,A32,A43,3060.0, A61 ,A74,,A93,A101,4.0,A121,28.0,A143,A152,2.0,A173,1.0,A191,a201,,
A11,30.0,a32,A45,11998.0, A61 ,a72,1.0,A91,A101,1.0,a124,34.0,A143,a152,1.0,A172,1.0,A192,A201,30.0, 
a14,9.0,a32,A43,2697.0, A61 ,A73,1.0,A93,A101,2.0,a121,32.0,A143,A152,1.0,A173,2.0,A191,A201,9.0,
A14,18.0,a34,A43,2404.0, A61 ,A73,2.0,A92,A101,2.0,A123,26.0,A143,A152,2.0,A173,1.0,A191,A201,18.0,
A11,12.0,A32,A42,1262.0, A65 ,A75,2.0,A91,A101,4.0,A122,49.0,a143,A152,1.0,A172,1.0,A192,a201,12.0,
A14,6.0,A32,A42,4611.0, A61 ,A72,1.0,A92,,4.0,A122,32.0,A143,A152,1.0,A173,1.0,,,6.0,
A14,24.0,A32,A43,1901.0, a62 ,A73,4.0,,a101,4.0,a123,29.0,A143,A151,1.0,A174,1.0,A192,A201,24.0,
A14,15.0,A34,A41,3368.0, A64 ,A75,3.0,A93,A101,4.0,a124,23.0,A143,A151,2.0,A173,1.0,A192,A201,15.0,
A14,12.0,A32,A42,, A61 ,A73,4.0,A93,A101,2.0,A121,50.0,A143,a152,1.0,a173,1.0,A191,A201,12.0, 
A13,18.0,A31,A43,1445.0, A65 ,A74,4.0,A93,A101,4.0,A123,49.0,A141,A152,1.0,A172,1.0,A191,A201,18.0,
A14,,,A42,1520.0, A65 ,a75,4.0,A93,A101,4.0,,63.0,A143,A152,1.0,A173,1.0,A191,A201,,
A12,24.0,A34,a40,3878.0, A62 ,a72,4.0,A91,a101,2.0,A123,37.0,A143,A152,1.0,A173,1.0,A192,A201,24.0,
,47.0,A32,A40,10722.0, A61 ,A72,1.0,A92,A101,1.0,A121,35.0,A143,a152,1.0,A172,1.0,A192,A201,47.0,
A11,48.0,a32,A41,4788.0, a61 ,A74,4.0,A93,A101,3.0,A122,26.0,A143,A152,1.0,A173,2.0,,A201,48.0,
A12,48.0,A33,A410,7582.0, A62 ,A71,2.0,,A101,4.0,A124,31.0,A143,A153,1.0,A174,1.0,A192,A201,48.0, 
a12,,A32,A43,1092.0, A61 ,A73,4.0,A92,a103,4.0,a121,49.0,A143,A152,2.0,,1.0,A192,A201,,99
A11,24.0,A33,A43,1024.0, a61 ,A72,4.0,A94,A101,4.0,A121,,a142,A152,1.0,,1.0,A191,A201,24.0, 
,12.0,A32,a49,1076.0, A61 ,a73,2.0,A94,A101,2.0,A121,26.0,A143,A152,1.0,A173,1.0,A192,A202,12.0,
,36.0,A32,A41,9398.0, A61 ,A72,1.0,A94,A101,,A123,28.0,a143,,1.0,A174,1.0,A192,A201,36.0,
A11,24.0,A34,A41,6419.0, nan ,A75,2.0,A92,A101,4.0,A124,44.0,a143,A153,2.0,A174,2.0,a192,a201,24.0,
A13,42.0,A34,A41,4796.0, nan ,A75,4.0,A93,A101,4.0,A124,56.0,,A153,1.0,A173,1.0,a191,a201,42.0,
A14,48.0,,A49,7629.0, A65 ,a75,4.0,a91,A101,2.0,,46.0,A141,a152,2.0,A174,2.0,A191,A201,48.0,
A12,48.0,,A42,9960.0, A61 ,A72,1.0,a92,A101,2.0,,26.0,A143,A152,1.0,A173,1.0,A192,A201,48.0,
A14,12.0,A32,A41,4675.0, A65 ,A72,1.0,a92,A101,4.0,A123,20.0,A143,A151,1.0,A173,1.0,A191,A201,12.0,
A14,10.0,,A40,1287.0, A65 ,a75,4.0,a93,a102,2.0,A122,45.0,a143,,1.0,A172,1.0,a191,A202,10.0, 
A14,18.0,A32,A42,2515.0, A61 ,A73,3.0,,A101,,a121,43.0,A143,A152,1.0,a173,1.0,a192,A201,18.0,
A12,21.0,A34,A42,2745.0, nan ,a74,3.0,A93,A101,2.0,A123,32.0,A143,A152,2.0,a173,1.0,a192,A201,21.0, 
A14,,a32,A40,672.0, a61 ,A71,1.0,a92,a101,4.0,a121,54.0,A143,A152,1.0,A171,1.0,A192,A201,,
A12,36.0,A30,A43,3804.0, nan ,A73,4.0,A92,a101,1.0,A123,42.0,A143,A152,1.0,A173,1.0,A192,A201,36.0,99
A13,24.0,A34,A40,1344.0, A65 ,A74,4.0,A93,A101,2.0,A121,37.0,A141,A152,2.0,A172,2.0,A191,A201,24.0,
A11,10.0,A34,A40,1038.0, A61 ,A74,4.0,A93,A102,3.0,A122,49.0,A143,A152,2.0,A173,1.0,A192,A201,10.0,
a14,48.0,A34,A40,10127.0, A63 ,A73,,,A101,2.0,,150.0,A141,A153,1.0,A173,1.0,A191,A201,48.0,
A14,6.0,A32,A42,1543.0, A64 ,A73,4.0,A91,A101,2.0,A121,33.0,a143,A152,1.0,a173,1.0,a191,A201,6.0,
a14,30.0,A32,A41,4811.0, A65 ,A74,2.0,A92,A101,4.0,A122,24.0,A142,A151,1.0,A172,1.0,a191,A201,30.0, 
A11,12.0,a32,A43,727.0, A62 ,A72,4.0,A94,A101,3.0,A124,33.0,A143,A152,1.0,A172,1.0,A192,A201,12.0, 
A12,8.0,A32,A42,1237.0, A61 ,A73,3.0,A92,A101,4.0,a121,-5.0,A143,a152,1.0,A173,,A191,A201,8.0,99
A12,9.0,A32,A40,276.0, A61 ,A73,,A94,A101,4.0,A121,22.0,A143,A151,1.0,A172,1.0,A191,a201,9.0,
A12,48.0,a32,A410,5381.0, A65 ,A71,3.0,A93,A101,4.0,a124,40.0,A141,A153,1.0,a171,1.0,A192,A201,48.0,
A14,24.0,A32,a42,5511.0, a62 ,A73,4.0,A93,a101,1.0,a123,25.0,A142,A152,1.0,A173,1.0,a191,a201,24.0,99
,24.0,a32,A42,3749.0, a61 ,A72,2.0,,A101,4.0,A123,26.0,A143,a152,1.0,,1.0,a191,a201,24.0,99
A12,12.0,a32,,685.0, a61 ,A74,2.0,A94,A101,3.0,A123,25.0,A141,A152,,A172,1.0,A191,A201,12.0,
A13,4.0,a32,A40,1494.0, a65 ,A72,1.0,A93,a101,2.0,A121,29.0,A143,a152,1.0,A172,2.0,A191,A202,4.0,
A11,36.0,A31,a42,2746.0, a61 ,a75,4.0,A93,A101,4.0,A123,31.0,A141,A152,1.0,A173,1.0,A191,A201,36.0, 
A11,12.0,A32,a42,708.0, A61 ,A73,,A93,A103,3.0,A122,38.0,A143,a152,,A172,2.0,A191,,12.0,
a12,24.0,A32,,, A65 ,A73,1.0,A92,A101,4.0,a122,48.0,a143,,1.0,A172,1.0,a192,A201,24.0, 
A14,12.0,A34,a46,701.0, A61 ,a73,4.0,a93,A101,2.0,A123,,A143,A152,2.0,A173,1.0,A191,A201,12.0,
A11,15.0,A33,A42,3643.0, A61 ,,1.0,a92,A101,4.0,a122,-5.0,A143,A152,2.0,A172,1.0,A191,A201,15.0,
a12,30.0,A34,A40,4249.0, A61 ,A71,4.0,a94,A101,2.0,A123,28.0,A143,A152,2.0,A174,1.0,A191,A201,30.0,
A11,24.0,A32,A43,1938.0, a61 ,A72,4.0,a91,A101,3.0,A122,32.0,A143,,1.0,a173,,a191,A201,24.0,
A11,24.0,A32,A41,2910.0, A61 ,a74,2.0,A93,a101,1.0,A124,34.0,A143,A153,1.0,A174,1.0,A192,A201,24.0,
A11,18.0,A32,A42,2659.0, A64 ,A73,4.0,A93,a101,,,28.0,A143,A152,1.0,A173,,A191,,18.0,
A14,18.0,a34,A40,, A61 ,A73,4.0,A92,A101,3.0,A121,36.0,A143,A152,2.0,A173,1.0,A191,A201,18.0,
A11,8.0,a34,A40,3398.0, A61 ,A74,1.0,A93,A101,4.0,a121,39.0,A143,A152,2.0,A172,1.0,a191,A202,8.0,
A14,12.0,A34,a42,, A65 ,A75,2.0,A93,A101,4.0,A122,49.0,A143,A151,1.0,A173,1.0,A192,,12.0,
A14,24.0,,a40,1525.0, A64 ,A74,4.0,A92,A101,3.0,A123,34.0,A143,a152,1.0,,2.0,A192,A201,24.0,
A13,36.0,A32,a43,4473.0, a61 ,A75,4.0,A93,A101,2.0,A123,31.0,a143,A152,1.0,A173,1.0,A191,A201,36.0,
A12,6.0,A32,A43,1068.0, A61 ,A75,4.0,a93,A101,4.0,,28.0,A143,A152,1.0,A173,2.0,A191,A201,6.0, 
A11,24.0,A34,a41,6615.0, a61 ,,2.0,A93,A101,4.0,a124,75.0,A143,A153,2.0,A174,1.0,A192,a201,24.0,
A14,18.0,A34,A46,1864.0, A62 ,unknown,4.0,A92,A101,2.0,a121,30.0,A143,A152,2.0,a173,1.0,A191,A201,18.0,
,60.0,A32,A40,7408.0, A62 ,A72,4.0,A92,A101,2.0,a122,24.0,A143,A152,1.0,A174,1.0,A191,A201,60.0,
A14,48.0,A34,A41,11590.0, A62 ,A73,2.0,a92,a101,4.0,A123,24.0,A141,A151,2.0,A172,1.0,A191,A201,48.0,
,24.0,A30,A42,4110.0, A61 ,A75,3.0,A93,A101,4.0,A124,23.0,A141,A151,2.0,A173,2.0,A191,A201,24.0,
,6.0,A34,A42,3384.0, a61 ,A73,1.0,A91,a101,4.0,A121,44.0,A143,A151,1.0,A174,1.0,A192,A201,6.0,
A12,13.0,A32,A43,2101.0, A61 ,A72,,A92,A103,4.0,A122,23.0,a143,A152,,A172,,A191,a201,13.0,99
A11,15.0,A32,A44,1275.0, a65 ,A73,4.0,A92,A101,2.0,A123,24.0,A143,a151,1.0,A173,1.0,A191,a201,15.0,
a11,24.0,A32,A42,4169.0, A61 ,A73,4.0,A93,A101,4.0,a122,28.0,A143,A152,1.0,A173,1.0,a191,A201,24.0,
A12,,A32,A42,1521.0, nan ,A73,4.0,A91,a101,2.0,A123,31.0,A143,A152,1.0,A172,,A191,A201,,
a12,24.0,a34,A46,5743.0, A61 ,A72,2.0,A92,A101,4.0,a124,24.0,A143,a153,2.0,,1.0,a192,A201,24.0,
A11,21.0,A32,A42,, a61 ,A74,1.0,a92,A101,4.0,A123,26.0,,A151,1.0,A172,1.0,A191,A201,21.0,
A12,18.0,A32,A43,3213.0, A63 ,a72,1.0,a94,a101,3.0,A121,25.0,A143,A151,1.0,A173,1.0,A191,A201,18.0,
A12,18.0,A32,A49,4439.0, A61 ,a75,1.0,A93,A102,1.0,a121,33.0,A141,A152,,A174,1.0,A192,A201,18.0,
A13,10.0,A32,A40,3949.0, A61 ,a72,1.0,a93,A103,1.0,A122,37.0,A143,a152,1.0,A172,2.0,A191,A201,10.0,99
A14,15.0,a34,A43,1459.0, A61 ,a73,4.0,A92,A101,2.0,A123,43.0,A143,,1.0,A172,1.0,A191,a201,15.0,
A12,13.0,A34,A43,882.0, nan ,a72,4.0,A93,a103,4.0,A121,23.0,A143,a152,2.0,A173,1.0,A191,A201,13.0,
,24.0,A32,A43,, a63 ,A71,1.0,,A101,4.0,A124,23.0,A143,A151,1.0,,1.0,A191,A201,24.0,
A14,6.0,A33,A49,1743.0, A62 ,A73,1.0,A93,A101,2.0,A121,34.0,A143,A152,2.0,A172,1.0,A191,A201,6.0,
A12,,,A46,1136.0, A64 ,A75,4.0,A93,A101,3.0,a124,32.0,A143,A153,2.0,A173,2.0,A191,A201,,
A14,9.0,A32,A44,1236.0, A61 ,,1.0,A92,A101,4.0,A121,23.0,A143,A151,,A173,1.0,A192,,9.0,
A12,9.0,A32,A42,959.0, A61 ,A73,,,A101,2.0,,29.0,A143,A152,1.0,A173,1.0,A191,A202,9.0, 
A14,18.0,A34,A41,3229.0, A65 ,,2.0,A93,A101,4.0,A124,38.0,A143,A152,1.0,,1.0,A192,A201,18.0,
A11,12.0,A30,A43,6199.0, A61 ,A73,4.0,A93,A101,2.0,A122,28.0,A143,A151,2.0,A173,1.0,A192,A201,12.0,
A14,10.0,A32,A46,727.0, a63 ,A75,4.0,A93,A101,4.0,A124,46.0,,A153,1.0,A173,1.0,A192,A201,10.0,
A12,24.0,A32,A40,1246.0, A61 ,A72,4.0,A93,A101,2.0,a121,23.0,A142,A152,1.0,A172,1.0,A191,a201,24.0,
,12.0,a34,A43,2331.0, A65 ,A75,1.0,A93,a102,4.0,A121,49.0,,A152,1.0,A173,1.0,a192,A201,12.0,
A14,36.0,a33,A43,4463.0, A61 ,A73,4.0,A93,A101,2.0,A123,26.0,A143,A152,2.0,A174,1.0,a192,A201,36.0,
a14,12.0,A32,A43,776.0, A61 ,A73,4.0,A94,A101,2.0,A121,150.0,A143,A152,1.0,A173,1.0,A191,A201,12.0,
A11,30.0,A32,A42,2406.0, A61 ,A74,4.0,A92,a101,4.0,A121,150.0,A143,A151,1.0,A173,1.0,A191,a201,30.0,
A12,18.0,,A46,1239.0, A65 ,A73,4.0,A93,A101,4.0,A124,61.0,A143,A153,1.0,a173,1.0,,A201,18.0,
A13,12.0,a32,A43,3399.0, a65 ,A75,2.0,A93,A101,3.0,A123,37.0,A143,A152,,A174,1.0,A191,A201,12.0,
A13,12.0,A33,A40,2247.0, a61 ,A73,2.0,A92,A101,2.0,A123,36.0,A142,A152,2.0,A173,1.0,A192,A201,12.0,
A14,6.0,A32,A42,1766.0, a61 ,A73,1.0,A94,A101,2.0,A122,21.0,a143,A151,1.0,A173,1.0,A191,A201,6.0,
A11,18.0,A32,A42,2473.0, A61 ,a71,4.0,A93,A101,,A123,25.0,A143,A152,1.0,,1.0,A191,A201,18.0,
A14,12.0,,A49,1542.0, A61 ,A74,2.0,A93,a101,4.0,a123,36.0,a143,A152,,A173,1.0,A192,a201,12.0,99
A14,18.0,A34,A41,3850.0, A61 ,A74,3.0,A93,a101,1.0,a123,27.0,A143,A152,2.0,A173,1.0,A191,A201,18.0,
A11,18.0,a32,A42,3650.0, A61 ,A72,1.0,A92,A101,4.0,a123,22.0,A143,A151,1.0,A173,1.0,A191,A201,18.0,
A11,36.0,A32,A42,3446.0, A61 ,a75,4.0,A93,A101,2.0,A123,42.0,a143,A152,,A173,2.0,A191,A201,36.0, 
A12,18.0,A32,A42,3001.0, A61 ,A74,2.0,A92,a101,4.0,A121,40.0,A143,A151,1.0,a173,1.0,A191,A201,18.0,
A14,36.0,a32,A40,3079.0, A65 ,A73,4.0,A93,A101,4.0,A121,36.0,A143,A152,1.0,A173,1.0,A191,,36.0,
,18.0,A34,A43,6070.0, A61 ,A75,3.0,A93,A101,4.0,A123,33.0,A143,A152,2.0,A173,1.0,a192,A201,18.0,
a14,10.0,A34,A42,2146.0, a61 ,A72,1.0,a92,A101,3.0,A121,23.0,,A151,2.0,A173,,A191,A201,10.0,
a14,60.0,A34,A40,13756.0, A65 ,a75,2.0,a93,A101,4.0,A124,63.0,A141,A153,1.0,A174,1.0,A192,a201,60.0,
A12,60.0,a31,A410,14782.0, a62 ,A75,3.0,a92,A101,4.0,A124,60.0,A141,A153,,A174,1.0,A192,A201,60.0,
A11,48.0,A31,A49,7685.0, A61 ,,2.0,A92,A103,4.0,A123,37.0,A143,A151,1.0,A173,1.0,a191,a201,48.0,
A14,18.0,a33,A43,2320.0, a61 ,A71,2.0,A94,A101,3.0,A121,34.0,A143,A152,2.0,A173,1.0,A191,A201,18.0,
,7.0,A33,A43,846.0, A65 ,A75,3.0,a93,A101,4.0,A124,36.0,A143,A153,1.0,A173,1.0,A191,A201,7.0, 
A12,36.0,A32,A40,14318.0, A61 ,a75,4.0,A93,A101,2.0,A124,57.0,A143,A153,1.0,A174,1.0,a192,A201,36.0,
A14,6.0,a34,A40,362.0, A62 ,A73,4.0,A92,a101,4.0,A123,52.0,A143,,2.0,A172,1.0,a191,A201,6.0,
